Server Time,Watch Timestamp,X,Y,Z,Value
2024-01-24T23:44:57.614Z,566542071,,,,94
2024-01-24T23:44:58.701Z,566543061,,,,94
2024-01-24T23:44:59.667Z,566544046,,,,94
2024-01-24T23:45:00.592Z,566545034,,,,94
2024-01-24T23:45:01.633Z,566546023,,,,94
2024-01-24T23:45:02.739Z,566547009,,,,94
2024-01-24T23:46:23.722Z,566628130,,,,90
2024-01-24T23:46:24.654Z,566629117,,,,88
2024-01-24T23:46:25.680Z,566630105,,,,88
2024-01-24T23:46:26.665Z,566631092,,,,88
2024-01-24T23:46:27.730Z,566632084,,,,88
2024-01-24T23:46:28.552Z,566633072,,,,88
2024-01-24T23:46:29.683Z,566634059,,,,87
2024-01-24T23:46:30.698Z,566635047,,,,87
2024-01-24T23:46:31.630Z,566636035,,,,88
2024-01-24T23:46:32.649Z,566637022,,,,88
2024-01-24T23:46:33.576Z,566638011,,,,89
2024-01-24T23:46:34.696Z,566639141,,,,89
2024-01-24T23:46:35.736Z,566640126,,,,90
2024-01-24T23:46:36.805Z,566641109,,,,90
2024-01-24T23:46:37.611Z,566642097,,,,91
2024-01-24T23:46:38.795Z,566643089,,,,92
2024-01-24T23:46:39.604Z,566644076,,,,92
2024-01-24T23:46:40.642Z,566645067,,,,93
2024-01-24T23:46:41.553Z,566646051,,,,93
