Server Time,Watch Timestamp,X,Y,Z,Value
2024-01-24T23:44:57.054Z,870468260,-0.6081457138061523,-1.5395183563232422,9.809343338012695,
2024-01-24T23:44:58.072Z,870469267,-0.16161346435546875,-2.408639907836914,9.553155899047852,
2024-01-24T23:44:59.261Z,870470273,-0.1496419906616211,-3.095796585083008,9.325699806213379,
2024-01-24T23:45:00.180Z,870471279,-0.17238712310791016,-2.8958749771118164,9.419075965881348,
2024-01-24T23:45:00.997Z,870472285,-0.26456642150878906,-2.3655433654785156,9.592660903930664,
2024-01-24T23:45:02.153Z,870473292,-0.2597780227661133,-2.7570066452026367,9.463370323181152,
2024-01-24T23:45:02.996Z,870474298,-0.21907520294189453,-2.905451774597168,9.38675308227539,
2024-01-24T23:46:23.850Z,870554813,-1.3012876510620117,0.7661676406860352,7.003252983093262,
2024-01-24T23:46:24.574Z,870555819,-0.2944955825805664,-2.9437599182128906,9.42506217956543,
2024-01-24T23:46:25.900Z,870556825,-0.05865955352783203,-2.2949113845825195,9.604632377624512,
2024-01-24T23:46:26.536Z,870557833,0.1580219268798828,-2.7953147888183594,9.228731155395508,
2024-01-24T23:46:27.733Z,870558838,-0.07182788848876953,-2.638490676879883,9.365204811096191,
2024-01-24T23:46:28.702Z,870559846,-0.032321929931640625,-2.6815872192382812,9.45499038696289,
2024-01-24T23:46:29.742Z,870560852,-0.11013603210449219,-3.0993881225585938,9.343656539916992,
2024-01-24T23:46:30.816Z,870561859,-0.12689590454101562,-3.3926868438720703,9.229928970336914,
2024-01-24T23:46:31.725Z,870562865,-0.1628103256225586,-3.241847038269043,9.296968460083008,
2024-01-24T23:46:32.750Z,870563872,-0.17478179931640625,-3.2322702407836914,9.271828651428223,
2024-01-24T23:46:33.598Z,870564877,-0.1628103256225586,-3.374730110168457,9.251477241516113,
2024-01-24T23:46:34.817Z,870565884,-0.18316173553466797,-3.2538185119628906,9.342459678649902,
2024-01-24T23:46:35.632Z,870566890,-0.1628103256225586,-3.340012550354004,9.227534294128418,
2024-01-24T23:46:36.871Z,870567896,-0.15921878814697266,-3.5375404357910156,9.179648399353027,
2024-01-24T23:46:37.577Z,870568903,0.7134933471679688,-2.9150285720825195,9.642940521240234,
2024-01-24T23:46:38.913Z,870569909,0.34597206115722656,-1.3395957946777344,9.698009490966797,
2024-01-24T23:46:39.680Z,870570916,-0.5746250152587891,-3.9792842864990234,8.937827110290527,
2024-01-24T23:46:40.657Z,870571922,-0.705113410949707,-3.627326011657715,9.177254676818848,
2024-01-24T23:46:41.739Z,870572928,-0.6428623199462891,-3.3531808853149414,8.814521789550781,
